run_id,status,model,case_id,images,latency_sec,cost_usd,show,review,hide,actions,warnings,error,history_id
"HARDGATE-EXTENDED-20260714041758","succeeded","bytedance-seed/seedream-4.5","TC-09","3","27.6","0.12","3","0","0","show | show | show","","","aa81019d-96ad-4176-839e-c5a1f5fa0057"
"HARDGATE-EXTENDED-20260714041758","succeeded","bytedance-seed/seedream-4.5","TC-14","3","34.5","0.12","1","2","0","show | review | review","","","5828cd2b-744a-4342-9029-12d323b0bcf7"
"HARDGATE-EXTENDED-20260714041758","succeeded","bytedance-seed/seedream-4.5","TC-17","3","22.3","0.12","2","1","0","show | show | review","","","681aa754-3a7a-4afa-934a-5e19cf64ca71"
"HARDGATE-EXTENDED-20260714041758","succeeded","bytedance-seed/seedream-4.5","TC-20","3","40.7","0.12","2","1","0","show | show | review","","","4085aec2-a6ec-4aec-ac4c-817902443441"
"HARDGATE-EXTENDED-20260714041758","succeeded","bytedance-seed/seedream-4.5","TC-02","3","30.5","0.12","3","0","0","show | show | show","","","c635162a-9a83-4d3b-8919-00832ae1b710"
"HARDGATE-EXTENDED-20260714041758","succeeded","bytedance-seed/seedream-4.5","TC-03","3","35.8","0.12","3","0","0","show | show | show","","","1347610e-bd6e-428a-bb07-0c9031bd8a5a"
"HARDGATE-EXTENDED-20260714041758","succeeded","google/gemini-3.1-flash-image","TC-09","3","15.2","0.2063215","3","0","0","show | show | show","","","4a0177cd-625a-4004-8cba-3490b7039bfd"
"HARDGATE-EXTENDED-20260714041758","succeeded","google/gemini-3.1-flash-image","TC-14","3","9.2","0.2065665","3","0","0","show | show | show","","","0b0162bd-ef57-429d-978d-e010dbf5eaee"
"HARDGATE-EXTENDED-20260714041758","succeeded","google/gemini-3.1-flash-image","TC-17","3","13.6","0.2060515","2","1","0","show | show | review","","","eb8fce93-fdeb-442a-bea5-691a9d182b0b"
"HARDGATE-EXTENDED-20260714041758","succeeded","google/gemini-3.1-flash-image","TC-20","3","14.8","0.20632699999999998","2","1","0","show | show | review","","","32089b4e-a75c-43d3-9711-dd5ea0386942"
"HARDGATE-EXTENDED-20260714041758","succeeded","google/gemini-3.1-flash-image","TC-02","3","25.9","0.206152","0","3","0","review | review | review","","","77cf0313-1854-474b-972c-24fcd9d13c5e"
"HARDGATE-EXTENDED-20260714041758","succeeded","google/gemini-3.1-flash-image","TC-03","3","27.1","0.206176","3","0","0","show | show | show","","","6156ddd6-dbc3-4d21-b4bc-4a249b5d6a89"
"HARDGATE-EXTENDED-20260714041758","succeeded","openai/gpt-image-1-mini","TC-09","3","49","0.15843449999999998","0","3","0","review | review | review","","","84827d9a-d42f-4fe4-a96e-df6f22636ad9"
"HARDGATE-EXTENDED-20260714041758","succeeded","openai/gpt-image-1-mini","TC-14","3","48.6","0.1584645","0","0","3","hide | hide | hide","","","a93c9443-3aff-4b88-ba08-8e6239985131"
"HARDGATE-EXTENDED-20260714041758","succeeded","openai/gpt-image-1-mini","TC-17","3","48.9","0.156372","0","0","3","hide | hide | hide","","","8934cb7a-f4c6-4331-bbf8-e9aee5289a9a"
"HARDGATE-EXTENDED-20260714041758","succeeded","openai/gpt-image-1-mini","TC-20","3","48.6","0.158442","2","1","0","show | review | show","","","9d980c37-0a0f-41fd-a8cb-bdd7052e0f0a"
"HARDGATE-EXTENDED-20260714041758","succeeded","openai/gpt-image-1-mini","TC-02","3","54","0.15844950000000002","3","0","0","show | show | show","","","aaadfc30-b0ce-4f06-82c7-dad134ec9766"
"HARDGATE-EXTENDED-20260714041758","succeeded","openai/gpt-image-1-mini","TC-03","3","107.9","0.1592325","3","0","0","show | show | show","","","1c925117-c5fd-4700-a225-f9069698ce5c"